Sn         band Tmax      Mmax   error   ts1            ts2            ts31           ts32           s      error  b      s1     error  s2     error  b1     s3     error  b3     Ttrans    error  Tpt       error     Tend      Mend      error     Ttail     Mtail     error     w0        error     a0        error  max2  error tmax2
sn2003hg     B  52871.50  18.02  0.04    52868.6421371  52971.4647177  52867.5080645  52980.0332661  3.02   0.04   18.17  4.20   0.07   0.95   0.14   17.91  nan    nan    nan    52912.43  1.16   nan       nan       52966.78  20.02     4.42      nan       nan       nan       nan       nan       nan       nan    nan   nan   nan   
sn2004dj     B  53220.00  12.35  0.02    53216.5483871  53271.7741935  53305.8387097  53468.4193548  1.58   0.04   12.33  nan    nan    1.58   0.04   12.33  0.53   0.01   15.75  nan       nan    53285.04  0.29      nan       13.30     0.02      nan       15.68     0.03      4.96      0.00      2.48      0.02   nan   nan   nan   
sn2005au     B  53467.00  17.41  0.09    53464.2137097  53509.5947581  53529.1491935  53583.3850806  3.26   0.30   17.33  nan    nan    3.26   0.30   17.33  1.01   1.60   20.40  nan       nan    53526.42  3.84      nan       19.17     0.28      nan       20.40     0.42      2.71      0.00      0.76      0.28   nan   nan   nan 
sn2005ay     B  53458.00  15.24  0.09    53461.8770161  53530.9737903  53508.9012097  53651.4133065  2.16   0.03   15.47  4.14   0.14   1.33   0.07   15.25  nan    nan    nan    53483.38  0.92   53559.44  0.64      nan       17.07     0.11      nan       18.55     0.12      3.23      0.55      1.37      0.11   nan   nan   nan 
sn2005bp     B  53503.00  19.84  0.16    53501.375      53547.9717742  53504.641129   53541.3306452  6.46   1.39   19.75  nan    nan    6.46   1.39   19.75  nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan 
sn2005ci     B  53552.87  18.85  0.22    53551.092137   53614.720161   53553.652621   53613.952016   -0.50  0.22   19.00  nan    nan    -0.50  0.22   19.00  nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan 
sn2005dp     B  53631.12  15.52  0.10    53630.6814516  53654.1189516  53629.1189516  53656.0342742  1.25   0.31   15.49  nan    nan    1.25   0.31   15.49  nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan
sn2005lw     B  53722.31  18.72  0.10    53733.1084677  53797.8866935  53727.0247984  53798.315121   4.01   0.08   19.20  4.89   0.27   2.42   0.24   19.13  nan    nan    nan    53756.47  2.19   nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan
sn2005z      B  53403.70  17.89  0.01    53404.3451613  53469.1032258  53401.2806452  53477.8129032  3.70   0.03   17.93  4.44   0.07   2.79   0.10   17.86  3.62   0.02   17.82  53433.78  1.49   nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan
sn2006be     B  53823.50  16.42  0.01    53820.4405242  53872.6018145  53820.3629032  53873.3780242  2.36   0.03   16.45  5.10   1.41   1.90   0.04   16.26  nan    nan    nan    53830.70  2.97   nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan
sn2006ca     B  53862.00  16.70  0.02    53858.6129032  53933.7741935  53858.0483871  53934.5806452  2.07   0.05   16.66  nan    nan    2.07   0.05   16.66  nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan
