|     Galaxy Name | Redshift | STARLIGHT Present Galaxy Mass | STARLIGHT Processed Solar Masses |
|         NGC2604 |  0.00693 |                     7.811E+09 |                        1.500E+10 |
|         NGC2623 | 0.018509 |                     7.032E+09 |                        1.220E+10 |
|         NGC2639 | 0.011128 |                     5.780E+10 |                        1.090E+11 |
|         NGC2691 | 0.013279 |                     2.881E+10 |                        5.321E+10 |
|         NGC2765 | 0.012549 |                     5.754E+10 |                        1.125E+11 |
|         NGC2771 | 0.016855 |                     6.823E+10 |                        1.329E+11 |
|         NGC2906 | 0.007138 |                     1.005E+10 |                        1.771E+10 |
|         NGC2916 | 0.012442 |                     2.515E+10 |                        4.200E+10 |
|         NGC2926 |  0.01455 |                     2.059E+10 |                        3.898E+10 |
|         NGC3057 | 0.005084 |                     1.459E+09 |                        2.560E+09 |
|         NGC3184 | 0.001975 |                     4.044E+09 |                        7.410E+09 |
|         NGC3310 | 0.003312 |                     5.158E+09 |                        1.004E+10 |
|         NGC3323 | 0.017225 |                     1.002E+10 |                        1.837E+10 |
|         NGC3451 |  0.00445 |                     1.731E+09 |                        3.158E+09 |
|         NGC3499 |  0.00512 |                     2.238E+09 |                        4.317E+09 |
|         NGC3655 | 0.004913 |                     2.007E+10 |                        3.984E+10 |
|         NGC3687 | 0.008362 |                     1.742E+10 |                        3.341E+10 |
|         NGC3811 | 0.010357 |                     1.171E+10 |                        2.131E+10 |
|         NGC3847 | 0.031829 |                     1.242E+11 |                        2.384E+11 |
|         NGC3861 | 0.016982 |                     2.850E+10 |                        5.495E+10 |
|         NGC3905 |  0.01926 |                     3.400E+10 |                        6.267E+10 |
|         NGC3913 | 0.003182 |                     6.421E+08 |                        1.201E+09 |
|         NGC3982 | 0.003699 |                     1.372E+10 |                        2.680E+10 |
|         NGC4210 | 0.009113 |                     1.909E+10 |                        3.630E+10 |
|         NGC4384 | 0.008382 |                     4.645E+09 |                        8.482E+09 |
|         NGC4644 | 0.016501 |                     2.362E+10 |                        4.452E+10 |
|         NGC4774 | 0.027731 |                     3.773E+10 |                        7.273E+10 |
|         NGC4874 | 0.023937 |                     1.981E+11 |                        3.858E+11 |
|         NGC4961 | 0.008456 |                     2.139E+09 |                        3.626E+09 |
|         NGC5000 | 0.018706 |                     1.086E+11 |                        2.125E+11 |
|         NGC5056 | 0.018653 |                     4.064E+10 |                        7.753E+10 |
|         NGC5157 | 0.024424 |                     5.475E+10 |                        1.037E+11 |
|         NGC5338 | 0.002722 |                     7.124E+08 |                        1.291E+09 |
|         NGC5339 | 0.009126 |                     2.117E+10 |                        4.090E+10 |
|         NGC5378 | 0.010147 |                     2.840E+10 |                        5.473E+10 |
|         NGC5406 | 0.017352 |                     5.964E+10 |                        1.157E+11 |
|         NGC5410 | 0.012469 |                     7.364E+09 |                        1.398E+10 |
|         NGC5421 | 0.026315 |                     1.265E+11 |                        2.416E+11 |
|         NGC5425 | 0.006918 |                     3.525E+09 |                        6.411E+09 |
|         NGC5426 | 0.008579 |                     1.013E+10 |                        1.794E+10 |
|         NGC5468 |  0.00948 |                     7.132E+09 |                        1.260E+10 |
|         NGC5480 | 0.006191 |                     2.175E+09 |                        3.501E+09 |
|         NGC5525 | 0.018523 |                     7.242E+10 |                        1.422E+11 |
|         NGC5557 | 0.010737 |                     1.445E+11 |                        2.904E+11 |
|         NGC5559 | 0.017232 |                     7.435E+10 |                        1.427E+11 |
|         NGC5587 | 0.007682 |                     1.314E+10 |                        2.517E+10 |
|         NGC5611 | 0.006721 |                     8.762E+09 |                        1.736E+10 |
|         NGC5630 | 0.008856 |                     1.046E+10 |                        2.043E+10 |
|         NGC5668 |  0.00526 |                     1.297E+11 |                        2.551E+11 |
|         NGC5682 | 0.007581 |                     2.349E+09 |                        4.183E+09 |
|         NGC5714 | 0.007462 |                     1.424E+10 |                        2.797E+10 |
|         NGC5732 | 0.012502 |                     1.501E+10 |                        2.387E+10 |
|         NGC5735 | 0.012482 |                     3.847E+10 |                        7.584E+10 |
|         NGC5772 | 0.016345 |                     5.646E+10 |                        1.073E+11 |
|         NGC5829 | 0.018797 |                     7.537E+10 |                        1.495E+11 |
|         NGC5837 | 0.028723 |                     3.488E+10 |                        5.811E+10 |
|         NGC5888 | 0.029123 |                     8.429E+10 |                        1.570E+11 |
|         NGC5910 | 0.040878 |                     1.514E+11 |                        2.905E+11 |
|         NGC5980 | 0.013649 |                     4.610E+10 |                        8.909E+10 |
|         NGC6063 |   0.0095 |                     1.527E+10 |                        2.729E+10 |
|         NGC6146 |  0.02942 |                     1.706E+11 |                        3.383E+11 |
|         NGC6166 | 0.030354 |                     6.792E+11 |                        1.366E+12 |
|         NGC6173 |   0.0293 |                     6.641E+12 |                        1.327E+13 |
|         NGC6186 | 0.009797 |                     4.098E+09 |                        8.021E+09 |
|         NGC6261 | 0.035391 |                     6.968E+10 |                        1.398E+11 |
|         NGC6373 | 0.011074 |                     1.245E+10 |                        2.505E+10 |
|         NGC6643 |  0.00495 |                     1.250E+10 |                        2.365E+10 |
|         NGC6786 | 0.025017 |                     1.438E+11 |                        2.775E+11 |
|         NGC6962 | 0.014011 |                     8.574E+10 |                        1.678E+11 |
|         NGC7042 | 0.016952 |                     5.989E+10 |                        1.129E+11 |
|         NGC7047 | 0.019383 |                     4.672E+10 |                        8.569E+10 |
|         NGC7253 | 0.014987 |                     2.274E+10 |                        3.796E+10 |
|         NGC7311 |  0.01512 |                     7.256E+10 |                        1.392E+11 |
|         NGC7319 | 0.022507 |                     1.020E+11 |                        2.027E+11 |
|         NGC7321 | 0.023833 |                     5.621E+10 |                        9.377E+10 |
|         NGC7364 | 0.016228 |                     2.941E+10 |                        4.801E+10 |
|         NGC7461 | 0.014113 |                     2.412E+09 |                        4.207E+09 |
|         NGC7469 | 0.016317 |                     7.015E+10 |                        1.354E+11 |
|         NGC7619 | 0.012549 |                     3.257E+11 |                        6.434E+11 |
|         NGC7653 | 0.014227 |                     1.315E+10 |                        2.300E+10 |
|         NGC7691 | 0.013479 |                     9.609E+09 |                        1.854E+10 |
|         NGC7771 | 0.014267 |                     1.721E+11 |                        3.235E+11 |
|         NGC7803 | 0.017899 |                     1.729E+11 |                        3.331E+11 |
|      PGC0010652 |  0.01652 |                     4.209E+10 |                        8.166E+10 |
|      PGC0014370 |  0.01504 |                     1.324E+09 |                        1.969E+09 |
|      PGC0035860 | 0.021081 |                     2.164E+09 |                        4.231E+09 |
|      PGC0213858 | 0.019326 |                     8.287E+09 |                        1.541E+10 |
|       PGC063016 | 0.014934 |                     9.358E+09 |                        1.487E+10 |
|       PGC067911 | 0.015894 |                     6.380E+09 |                        1.156E+10 |
|        PGC11179 | 0.022886 |                     6.649E+10 |                        1.307E+11 |
|      PGC3086846 | 0.029666 |                     1.113E+10 |                        2.191E+10 |
|     SDSSJ004750 |  0.08746 |                     3.935E+09 |                        6.038E+09 |
|     SDSSJ083516 | 0.042955 |                     3.465E+09 |                        6.159E+09 |
|     SDSSJ161812 | 0.028291 |                     6.577E+08 |                        1.072E+09 |
|   SDSSJ17041329 | 0.079841 |                     1.385E+10 |                        2.695E+10 |
|        UGC00005 | 0.024253 |                     6.793E+10 |                        1.273E+11 |
|        UGC00139 | 0.013219 |                     1.107E+10 |                        2.059E+10 |
|        UGC00148 | 0.014053 |                     1.848E+10 |                        3.586E+10 |
|        UGC01087 |  0.01496 |                     1.072E+10 |                        1.877E+10 |
|        UGC01635 | 0.011755 |                     3.190E+10 |                        6.295E+10 |
|        UGC02134 | 0.015297 |                     2.975E+10 |                        5.395E+10 |
|        UGC02175 | 0.014196 |                     3.068E+09 |                        4.987E+09 |
|        UGC02308 | 0.027576 |                     2.408E+10 |                        3.920E+10 |
|        UGC02628 | 0.022752 |                     6.549E+10 |                        1.162E+11 |
|        UGC02756 | 0.016882 |                     4.000E+09 |                        6.396E+09 |
|        UGC02836 | 0.016702 |                     1.028E+11 |                        2.045E+11 |
|        UGC02912 |    0.018 |                     1.720E+10 |                        2.816E+10 |
|        UGC02931 |  0.01917 |                     3.977E+10 |                        7.895E+10 |
|        UGC03151 |   0.0146 |                     5.269E+10 |                        1.019E+11 |
|        UGC03312 |  0.01897 |                     1.277E+10 |                        2.083E+10 |
|        UGC03513 | 0.024544 |                     1.338E+10 |                        2.357E+10 |
|        UGC03552 | 0.016228 |                     8.822E+09 |                        1.614E+10 |
|        UGC03555 | 0.016128 |                     6.783E+10 |                        1.275E+11 |
|        UGC03627 | 0.020858 |                     9.623E+10 |                        1.942E+11 |
|        UGC03843 | 0.017589 |                     3.879E+09 |                        7.001E+09 |
|        UGC03944 | 0.013025 |                     6.317E+09 |                        1.129E+10 |
|        UGC04008 | 0.030751 |                     6.885E+10 |                        1.204E+11 |
|        UGC04036 | 0.011575 |                     5.207E+10 |                        1.038E+11 |
|        UGC04107 | 0.011688 |                     1.275E+10 |                        2.243E+10 |
|        UGC04132 | 0.017409 |                     4.760E+10 |                        8.999E+10 |
|        UGC04179 | 0.018556 |                     2.117E+09 |                        3.415E+09 |
|        UGC04195 | 0.016305 |                     5.217E+11 |                        1.047E+12 |
|        UGC04308 | 0.011895 |                     6.117E+09 |                        1.150E+10 |
|        UGC04310 | 0.014527 |                     1.323E+10 |                        2.617E+10 |
|        UGC04423 | 0.011701 |                     6.649E+08 |                        9.187E+08 |
|        UGC04455 | 0.030908 |                     1.035E+11 |                        2.048E+11 |
|        UGC04461 | 0.016655 |                     1.449E+10 |                        2.894E+10 |
|        UGC04468 | 0.025227 |                     2.735E+11 |                        5.348E+11 |
|        UGC04981 | 0.013236 |                     1.490E+10 |                        2.965E+10 |
|        UGC05100 | 0.018393 |                     6.805E+10 |                        1.328E+11 |
|        UGC05129 | 0.013539 |                     1.167E+10 |                        2.170E+10 |
|        UGC05392 | 0.020711 |                     3.758E+10 |                        7.538E+10 |
|        UGC05520 | 0.011058 |                     3.684E+09 |                        6.262E+09 |
|        UGC05695 | 0.009807 |                     7.303E+09 |                        1.436E+10 |
|        UGC06036 | 0.021688 |                     1.266E+11 |                        2.436E+11 |
|        UGC06517 | 0.008309 |                     5.681E+09 |                        1.053E+10 |
|        UGC08250 | 0.017646 |                     1.596E+10 |                        3.157E+10 |
|        UGC08472 | 0.022095 |                     6.880E+10 |                        1.358E+11 |
|        UGC08503 |  0.01555 |                     5.117E+09 |                        9.647E+09 |
|        UGC09165 | 0.017565 |                     4.743E+10 |                        9.297E+10 |
|        UGC09356 | 0.007419 |                     4.241E+09 |                        8.389E+09 |
|        UGC09842 | 0.029726 |                     1.005E+11 |                        2.022E+11 |
|        UGC10097 | 0.019887 |                     2.059E+11 |                        4.127E+11 |
|        UGC10123 | 0.012575 |                     8.045E+09 |                        1.596E+10 |
|        UGC10331 | 0.014914 |                     2.344E+10 |                        4.501E+10 |
|        UGC11162 | 0.015424 |                     1.321E+10 |                        2.555E+10 |
|        UGC11723 | 0.016341 |                     2.844E+10 |                        5.418E+10 |
|        UGC11922 |  0.02419 |                     1.752E+10 |                        3.023E+10 |
|        UGC11975 | 0.020914 |                     2.996E+10 |                        4.870E+10 |
|        UGC12809 | 0.045985 |                     4.623E+10 |                        7.537E+10 |
